id,pedido_id,cliente_id,categoria_problema,data_abertura,data_resolucao,status,id_x,produto_id,quantidade,preco_praticado,desconto_aplicado,id_y,nome,categoria,subcategoria,preco_unitario,custo_unitario,fornecedor
40,10638,308,cobrança,2024-07-26,2024-08-01,resolvido,26088,14,1,2285.43,0.05,14,Fones de Ouvido 14,Eletrônicos,Fones de Ouvido,2405.72,1384.95,NorteImport Ltda
40,10638,308,cobrança,2024-07-26,2024-08-01,resolvido,26089,87,3,1602.38,0.05,87,Camping 87,Esporte & Lazer,Camping,1686.72,924.15,AlphaSupply
41,14313,2264,cobrança,2024-10-19,2024-10-23,resolvido,35109,139,4,712.06,0.04,139,Material Escolar 139,Livros & Papelaria,Material Escolar,741.73,521.43,MegaDistribuidora
41,14313,2264,cobrança,2024-10-19,2024-10-23,resolvido,35110,159,1,3259.26,0.04,159,Cadeirinhas 159,Bebês & Crianças,Cadeirinhas,3395.06,1448.53,DeltaFornece ME
41,14313,2264,cobrança,2024-10-19,2024-10-23,resolvido,35111,143,2,1443.63,0.02,143,Material Escolar 143,Livros & Papelaria,Material Escolar,1473.09,897.49,TechBrasil Ltda
42,3183,2503,troca,2023-12-10,,escalado,7755,52,1,940.45,0.2,52,Móveis 52,Casa & Decoração,Móveis,1175.56,738.61,DeltaFornece ME
42,3183,2503,troca,2023-12-10,,escalado,7756,194,4,742.75,0.19,194,Suplementos 194,Beleza & Saúde,Suplementos,916.98,530.85,MegaDistribuidora
42,3183,2503,troca,2023-12-10,,escalado,7757,175,5,828.7,0.04,175,Calçados 175,Moda,Calçados,863.23,446.06,TechBrasil Ltda
42,3183,2503,troca,2023-12-10,,escalado,7758,58,3,1502.7,0.23,58,Luminárias 58,Casa & Decoração,Luminárias,1951.56,977.09,FornecedorX
43,9807,225,defeito,2023-12-06,,aberto,23985,92,2,1718.8,0.16,92,Cosméticos 92,Beleza & Saúde,Cosméticos,2046.19,1220.93,FornecedorX
44,1585,738,cobrança,2023-08-30,,escalado,3819,155,5,854.38,0.04,155,Roupas Infantis 155,Bebês & Crianças,Roupas Infantis,889.98,595.05,DeltaFornece ME
44,1585,738,cobrança,2023-08-30,,escalado,3820,34,2,1296.84,0.05,34,Calças 34,Moda,Calças,1365.1,977.44,AlphaSupply
45,14720,2186,atraso,2023-05-28,2023-06-09,resolvido,36039,80,4,2332.04,0.03,80,Equipamentos de Academia 80,Esporte & Lazer,Equipamentos de Academia,2404.17,1644.94,GlobalBR Comércio
46,14614,311,troca,2024-08-22,2024-08-27,resolvido,35791,93,1,2770.79,0.04,93,Cosméticos 93,Beleza & Saúde,Cosméticos,2886.24,1265.79,FornecedorX
46,14614,311,troca,2024-08-22,2024-08-27,resolvido,35792,8,3,1163.38,0.04,8,Notebooks 8,Eletrônicos,Notebooks,1211.85,814.08,GlobalBR Comércio
47,6954,1568,atraso,2023-07-16,2023-07-27,resolvido,17057,154,4,924.25,0.08,154,Roupas Infantis 154,Bebês & Crianças,Roupas Infantis,1004.62,586.48,DeltaFornece ME
48,6439,2389,dúvida,2024-01-04,2024-01-06,resolvido,15800,67,4,2568.66,0.12,67,Vasos 67,Casa & Decoração,Vasos,2918.93,1326.84,DeltaFornece ME
48,6439,2389,dúvida,2024-01-04,2024-01-06,resolvido,15801,175,5,776.91,0.1,175,Calçados 175,Moda,Calçados,863.23,446.06,TechBrasil Ltda
49,6996,2968,dúvida,2024-12-31,,aberto,17149,67,1,2276.77,0.22,67,Vasos 67,Casa & Decoração,Vasos,2918.93,1326.84,DeltaFornece ME
49,6996,2968,dúvida,2024-12-31,,aberto,17150,89,5,1366.52,0.28,89,Natação 89,Esporte & Lazer,Natação,1897.95,1151.37,NorteImport Ltda
49,6996,2968,dúvida,2024-12-31,,aberto,17151,88,4,2654.31,0.09,88,Camping 88,Esporte & Lazer,Camping,2916.82,1489.58,MegaDistribuidora
49,6996,2968,dúvida,2024-12-31,,aberto,17152,48,2,3091.09,0.02,48,Roupas Íntimas 48,Moda,Roupas Íntimas,3154.17,2030.49,FornecedorX
49,6996,2968,dúvida,2024-12-31,,aberto,17153,24,4,2736.0,0.07,24,Câmeras 24,Eletrônicos,Câmeras,2941.94,2022.0,NorteImport Ltda
49,6996,2968,dúvida,2024-12-31,,aberto,17154,83,4,2901.76,0.16,83,Equipamentos de Academia 83,Esporte & Lazer,Equipamentos de Academia,3454.48,2319.44,SulFornece SA
50,12973,2731,troca,2024-07-11,2024-07-13,resolvido,31802,71,3,681.49,0.02,71,Utensílios 71,Casa & Decoração,Utensílios,695.4,392.59,MegaDistribuidora
51,8167,1927,defeito,2023-11-30,2023-12-10,resolvido,20048,162,4,233.7,0.05,162,Cuidados com a Pele 162,Beleza & Saúde,Cuidados com a Pele,246.0,103.27,NorteImport Ltda
51,8167,1927,defeito,2023-11-30,2023-12-10,resolvido,20049,60,3,487.62,0.03,60,Tapetes 60,Casa & Decoração,Tapetes,502.7,225.85,DeltaFornece ME
52,9444,398,dúvida,2023-04-30,2023-05-04,resolvido,23084,91,2,2527.22,0.04,91,Cosméticos 91,Beleza & Saúde,Cosméticos,2632.52,1144.28,MarcoPolo Distribuição
53,14768,1013,troca,2024-12-31,2025-01-10,resolvido,36158,191,4,1385.99,0.27,191,Quadros 191,Casa & Decoração,Quadros,1898.62,1028.31,NorteImport Ltda
54,2566,2362,atraso,2023-12-12,2023-12-27,resolvido,6271,161,1,2196.98,0.04,161,Câmeras 161,Eletrônicos,Câmeras,2288.52,1276.02,DeltaFornece ME
54,2566,2362,atraso,2023-12-12,2023-12-27,resolvido,6272,70,5,1165.02,0.01,70,Utensílios 70,Casa & Decoração,Utensílios,1176.79,681.46,AlphaSupply
54,2566,2362,atraso,2023-12-12,2023-12-27,resolvido,6273,99,3,3078.65,0.04,99,Perfumes 99,Beleza & Saúde,Perfumes,3206.93,2110.35,MegaDistribuidora
55,12716,1160,atraso,2024-10-14,2024-10-28,resolvido,31157,80,5,2283.96,0.05,80,Equipamentos de Academia 80,Esporte & Lazer,Equipamentos de Academia,2404.17,1644.94,GlobalBR Comércio
56,12141,79,dúvida,2023-01-15,2023-01-20,resolvido,29742,34,2,1365.1,0.0,34,Calças 34,Moda,Calças,1365.1,977.44,AlphaSupply
57,7073,2859,atraso,2023-10-05,2023-10-25,resolvido,17363,180,3,2971.43,0.15,180,Livros Técnicos 180,Livros & Papelaria,Livros Técnicos,3495.8,1534.08,MegaDistribuidora
57,7073,2859,atraso,2023-10-05,2023-10-25,resolvido,17364,176,5,699.25,0.09,176,Fones de Ouvido 176,Eletrônicos,Fones de Ouvido,768.41,431.48,TechBrasil Ltda
57,7073,2859,atraso,2023-10-05,2023-10-25,resolvido,17365,175,1,768.27,0.11,175,Calçados 175,Moda,Calçados,863.23,446.06,TechBrasil Ltda
57,7073,2859,atraso,2023-10-05,2023-10-25,resolvido,17366,24,4,2618.33,0.11,24,Câmeras 24,Eletrônicos,Câmeras,2941.94,2022.0,NorteImport Ltda
57,7073,2859,atraso,2023-10-05,2023-10-25,resolvido,17367,89,4,1708.15,0.1,89,Natação 89,Esporte & Lazer,Natação,1897.95,1151.37,NorteImport Ltda
58,2360,1188,defeito,2024-04-12,2024-04-20,resolvido,5758,70,1,859.06,0.27,70,Utensílios 70,Casa & Decoração,Utensílios,1176.79,681.46,AlphaSupply
59,8520,2101,defeito,2023-03-11,,aberto,20871,89,3,1803.05,0.05,89,Natação 89,Esporte & Lazer,Natação,1897.95,1151.37,NorteImport Ltda
59,8520,2101,defeito,2023-03-11,,aberto,20872,46,2,436.71,0.03,46,Roupas Íntimas 46,Moda,Roupas Íntimas,450.22,336.42,NorteImport Ltda
60,5048,1623,defeito,2023-06-12,2023-06-15,resolvido,12332,168,4,983.33,0.04,168,Luminárias 168,Casa & Decoração,Luminárias,1024.3,504.73,AlphaSupply
60,5048,1623,defeito,2023-06-12,2023-06-15,resolvido,12333,43,2,1305.11,0.02,43,Acessórios 43,Moda,Acessórios,1331.74,631.79,DeltaFornece ME
61,11429,2936,dúvida,2023-12-03,2023-12-11,resolvido,28044,196,4,1020.67,0.04,196,Calçados 196,Moda,Calçados,1063.2,444.02,AlphaSupply
61,11429,2936,dúvida,2023-12-03,2023-12-11,resolvido,28045,36,5,1444.47,0.05,36,Calças 36,Moda,Calças,1520.5,837.31,MarcoPolo Distribuição
62,12597,250,cobrança,2023-11-22,2023-11-30,resolvido,30866,79,3,357.76,0.03,79,Tênis Esportivo 79,Esporte & Lazer,Tênis Esportivo,368.82,203.74,DeltaFornece ME
62,12597,250,cobrança,2023-11-22,2023-11-30,resolvido,30867,111,4,2618.14,0.01,111,Vitaminas 111,Beleza & Saúde,Vitaminas,2644.59,1553.33,FornecedorX
62,12597,250,cobrança,2023-11-22,2023-11-30,resolvido,30868,30,5,3207.81,0.01,30,Camisetas 30,Moda,Camisetas,3240.21,1923.14,TechBrasil Ltda
63,1362,872,troca,2023-07-05,,aberto,3293,9,2,2570.43,0.04,9,Tablets 9,Eletrônicos,Tablets,2677.53,1316.38,TechBrasil Ltda
64,1448,475,defeito,2024-02-16,,aberto,3480,136,3,1197.23,0.17,136,Agendas 136,Livros & Papelaria,Agendas,1442.44,947.74,MegaDistribuidora
64,1448,475,defeito,2024-02-16,,aberto,3481,129,3,2014.22,0.13,129,Livros Técnicos 129,Livros & Papelaria,Livros Técnicos,2315.19,1057.09,MarcoPolo Distribuição
64,1448,475,defeito,2024-02-16,,aberto,3482,17,4,2775.26,0.16,17,Smart TVs 17,Eletrônicos,Smart TVs,3303.88,2080.86,MegaDistribuidora
64,1448,475,defeito,2024-02-16,,aberto,3483,194,1,751.92,0.18,194,Suplementos 194,Beleza & Saúde,Suplementos,916.98,530.85,MegaDistribuidora
65,12762,1725,atraso,2023-03-05,2023-03-19,resolvido,31260,97,5,793.39,0.25,97,Perfumes 97,Beleza & Saúde,Perfumes,1057.85,593.29,MarcoPolo Distribuição
65,12762,1725,atraso,2023-03-05,2023-03-19,resolvido,31261,36,2,1490.09,0.02,36,Calças 36,Moda,Calças,1520.5,837.31,MarcoPolo Distribuição
66,5758,609,troca,2023-05-25,,aberto,14107,144,3,539.7,0.13,144,Fraldas 144,Bebês & Crianças,Fraldas,620.35,355.47,NorteImport Ltda
66,5758,609,troca,2023-05-25,,aberto,14108,108,5,813.91,0.27,108,Vitaminas 108,Beleza & Saúde,Vitaminas,1114.95,617.58,GlobalBR Comércio
66,5758,609,troca,2023-05-25,,aberto,14109,19,2,770.23,0.18,19,Smart TVs 19,Eletrônicos,Smart TVs,939.3,600.58,SulFornece SA
